feature,importance
num__CGPA,0.5113295407443437
num__Stress_Level,0.1026920111488915
num__Sleep_Duration,0.10191545339099653
num__Physical_Activity,0.07282061813428506
num__Study_Hours,0.07186852542618023
num__Social_Media_Hours,0.06841451506872291
num__Age,0.03032575216766549
cat__Gender_Male,0.006368191554346288
cat__Gender_Female,0.006077401707463411
cat__Department_Business,0.005910856984453708
cat__Department_Arts,0.00570115517863608
cat__Department_Science,0.005672925712005892
cat__Department_Engineering,0.005581099302441561
cat__Department_Medical,0.00532195347956763
